sequence,label
29 5 2 77 1846 45 999 12 100 147 41 3224 418 432 27 2998 35 24 203 15 11 7 568 49 581 16 1987 13 2 89 150 12 3410 70 43 3224 14 30 5386 3 1 133 5 543 61 286 8 203 37 2,1
4 375 112 349 13 13 2 1356 2978 7 53 1 53 1 1628 3 392 4 1 3 500 1 288 5 1869 6 2 426 404 13 13 2 148 24 525 73 2120 517 4530 22 62 45 188 32 2 1 19 28 45 32,1
10 199 11 14 4 375 98 6 1087 60 21 4 101 888 1429 2449 1189 8 2 934 1 773 3 147 4 4026 216 2 115 7 4453 19 2 396 7 1834 3 2 102 24 1594 54 2 73 6342 6708 1474 484 132 47,1
661 219 4 238 116 4 112 457 4088 1177 219 4 989 8 25 3918 25 766 24 1026 32 2 1456 13 11 18 7 7245 71 4 1847 1293 3 1031 4088 1063 6 410 6624 3 491 2 1 13 587 89 5 32 52 317,0
1 1 117 8 2 60 5 284 7 4 1969 1401 20 6 105 454 1 1441 171 4 4366 3158 43 376 4198 11 7 4 18 12 181 6 27 980 171 49 284 644 3 960 82 6 83 8 2 273 1095 74 2637 13,1
233 55 4027 482 18 4 66 5 1 4454 3 9290 6 4 3609 1065 19 30 22 5281 40 348 9 41 109 204 172 450 55 251 106 9 47 40 51 217 8 2 234 151 831 8550 236 895 1566 6 55 497 3 3411,1
10 245 57 39 6 65 4 8252 5 4 58 1816 1 215 16 2 7713 35 26 635 9 57 692 145 2 544 2366 8 1 2017 58 21 319 3 487 243 3 1 16 1 67 55 4812 165 1 26 55 1970 17 4,1
11 119 14 34 475 1308 4121 306 8 2 169 52 9 89 3141 2 89 40 151 67 512 19 179 3392 125 100 12 33 2 119 14 22 64 158 1611 3 30 3694 30 5982 1036 6 2 588 429 5 60 9 7 8107,0
8253 33 2 1175 759 43 11 20 21 138 10 14 266 959 6 147 11 20 84 1457 195 106 96 3 11 7 345 29 5 2 246 5 95 30 373 8 206 165 98 785 1562 756 111 715 2 96 62 612 4 858,0
44 23 39 210 7488 7844 2367 23 78 39 11 18 44 23 24 183 40 172 91 23 78 117 11 18 529 54 55 1522 427 572 13 85 1224 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1
4368 2 1142 7 29 5 143 2472 96 116 2 1171 7 447 189 2 1 5 263 240 71 738 1 13 31 89 9 14 53 1060 3 178 158 19 15 2 18 7845 10 152 159 2 628 40 1 158 1 13 30 4,0
10 212 11 18 52 10 14 43 52 9 354 46 10 2107 2 5595 129 14 2 193 3696 1943 331 1 1 37 1 203 46 5 2 934 2 191 2 8398 13 15 4 183 544 164 6 128 872 919 96 21 2172 1,0
38 141 22 4 193 328 5 1 163 19 91 176 22 104 24 10 495 25 18 1 270 141 2 62 29 4410 654 1154 2 2575 6 334 237 1442 201 589 54 154 2 445 397 14 54 1 13 13 83 36 26 495,0
2 180 247 1 13 2143 1 13 10 1088 12 11 7 258 6 692 2143 6 2 4860 19 135 2644 137 38 2806 13 7 9 79 2 4619 285 7 55 482 2143 10 82 22 118 49 10 82 118 7 12 4 736 1,0
